CupomID;ProdutoID;Produto;Categoria;Quantidade;Valor;Custo;Lucro
10248;11;Desperado Jeans;Mens Clothes;12;343.44;284.37;59.07
10248;42;Balett Shoes;Womens Footwear;10;140.4;116.25;24.15
10248;72;Rossi Shorts;Bath Clothes;5;63.55;52.62;10.93
10249;14;Kool Sunglasses;Childrens wear;9;205.2;169.91;35.29
10249;51;Snake Boots;Mens Footwear;40;4048.0;3642.67;405.33
10250;41;Duck Shirt;Babywear;10;95.9;79.41;16.49
10250;51;Snake Boots;Mens Footwear;35;3931.22;2830.48;1100.74
10250;65;Stretch oui-pants;Womens wear;15;163.36;117.62;45.74
10251;22;Ravellis Träskor;Womens Footwear;6;21.36;16.84;4.52
10251;57;Burned Rubber Shoes;Womens Footwear;15;332.64;288.14;44.5
10251;65;Stretch oui-pants;Womens wear;20;185.2;156.44;28.76
10252;20;Tennis Suit;Sportwear;40;3189.06;2514.8;674.26
10252;33;Car Boots;Sportwear;25;620.55;489.35;131.2
10252;60;Game Over T-Shirt;Sportwear;40;182.0;150.7;31.3
10253;31;Rossi Bermuda Shorts;Bath Clothes;20;165.6;140.57;25.03
10253;39;Terence Top;Womens wear;42;2433.9;2015.27;418.63
10253;49;Finnish Sport Blades;Sportwear;40;796.4;659.42;136.98
10254;24;Samba Socker  Socks;Mens Clothes;15;77.97;56.14;21.83
10254;55;Feiss Fleece Trousers;Sportwear;21;984.35;708.73;275.62
10254;74;Nikee Running Shoes;Childrens wear;21;617.4;511.21;106.19
10255;2;Mr X Trousers;Mens Clothes;20;342.4;283.51;58.89
10255;16;Wimbledon T-Shirt;Sportwear;35;320.95;265.75;55.2
10255;36;Mehmet-Tröja;Babywear;25;194.25;160.84;33.41
10255;59;Rasta WCT;Sportwear;30;234.9;198.24;36.66
10256;53;Jumpin Jack Flash Dress;Womens wear;15;907.95;751.78;156.17
10256;77;Skirt;Womens wear;12;162.0;134.14;27.86
10257;27;Tracksuit;Sportwear;25;1077.25;891.96;185.29
10257;39;Terence Top;Womens wear;6;329.04;272.71;56.33
10257;77;Skirt;Womens wear;15;192.6;159.47;33.13
10258;2;Mr X Trousers;Mens Clothes;50;1201.2;828.83;372.37
10258;5;O-Man Underwear;Mens Clothes;65;478.14;344.26;133.88
10258;32;Rossi Bikkini;Bath Clothes;6;139.32;100.31;39.01
10259;21;Basket Shoes;Sportwear;10;101.4;87.61;13.79
10259;37;Mehmet-Skor;Babywear;1;4.37;3.78;0.59
10260;41;Duck Shirt;Babywear;16;200.4;138.52;61.88
10260;57;Burned Rubber Shoes;Womens Footwear;50;929.0;802.66;126.34
10260;62;Sheat Shoes;Sportwear;15;540.38;373.51;166.87
10260;70;US-Master Jeans;Mens Clothes;21;770.96;532.89;238.07
10261;21;Basket Shoes;Sportwear;20;200.2;172.97;27.23
10261;35;LA. Shorts;Bath Clothes;20;131.2;115.92;15.28
10262;5;O-Man Underwear;Mens Clothes;12;80.35;57.85;22.5
